Buyer Full Name,Buyer SSN,Seller Full Name,Seller SSN,Witness Full Name,Witness SSN,Property Address,City,State,Square Feet,Property Category,Closing Date,Sale Amount (USD),Notes
Nathan Frank,582-77-1392,Elijah Johnson,333-08-4807,,,"38367 Teresa Divide Suite 103, Aaronfurt, PR 68626",Aaronfurt,PR,1389,Single-Family Home,2024-04-03,327498,
Mason Johnson,491-52-6985,Sandra Miller,,,,"2190 Kelly Harbor Apt. 842, Ortizfort, MT 60443",Ortizfort,MT,4774,Multi-Family,2021-12-10,938684,
Amanda Reese,,Sarah Phelps,,,,"9030 Gonzales Plains, East Carlos, PA 28978",East Carlos,PA,,Land/Lot,2023-03-02,102784,
Jordan York,071-77-1114,Mary Steele,030-24-4478,Joshua Kim,613-06-7079,"632 Peck Stravenue Suite 327, East Colin, LA 67967",East Colin,LA,2648,Single-Family Home,2022-11-10,668858,
Joshua Kim,613-06-7079,Susan Brooks,733-26-1246,Michael Cross,803-72-7974,"182 Jones Port, Haynesstad, NH 08664",Haynesstad,NH,1573,Condominium,2021-09-08,466656,
Kelly Hartman,164-54-8898,Michael Fox,,Anna Walker,219-85-5438,"015 Allen Row Apt. 056, Michaelborough, WV 15361",Michaelborough,WV,1539,Townhouse,2023-01-28,404500,
Mary Marshall,,Allison Hill,229-18-1680,,,"960 Preston Isle, Johnsonview, MO 91008",Johnsonview,MO,9439,Commercial,2023-03-13,2921169,1031 exchange
Erik Scott,157-88-7771,Sandra Sanchez,,,,"1545 Green Station, Annaport, ME 85890",Annaport,ME,1766,Single-Family Home,2024-12-12,362024,Short sale
Desiree Tyler,425-44-8319,Katherine Chang,,,,"5892 Kramer Springs Apt. 017, Summersfort, KY 02635",Summersfort,KY,11439,Commercial,2021-06-11,2971822,1031 exchange
Annette Miles,874-84-9034,Zachary Ferrell,076-69-3493,,,"67888 Garcia Corners, Kathleenville, DC 46889",Kathleenville,DC,,Land/Lot,2023-03-26,306910,Cash sale
